PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=806 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=831 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=871 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=860 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=904 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=920 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=931 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=945 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=942 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=962 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=1022 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=1030 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=1042 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=1055 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=1084 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=1098 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=1120 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=1149 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=1158 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=1184 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=1206 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=1235 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=1279 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=1292 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=1320 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=1333 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=1362 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=1384 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=1422 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=1468 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=1474 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=1481 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=1478 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=1475 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=1497 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=1442 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=759 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=799 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=778 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=665 ms
